Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
Yorke Peninsula,48830,SA,5200,200,0.046,0.642,0.297,0.061,200,0.402,300,0.049,<100
Unincorporated SA,49399,SA,1100,200,0.212,0.021,0.036,0.944,200,0.476,300,0.04,<100
Albany,50080,WA,15200,800,0.049,0.649,0.346,0.005,900,0.545,1100,0.041,<100
Armadale,50210,WA,33700,2100,0.062,0.716,0.207,0.076,800,0.281,3300,0.084,100-200
Ashburton,50250,WA,1800,100,0.046,0,0.001,0.999,200,0.667,100,0.03,<100
Augusta Margaret River,50280,WA,6200,400,0.06,0.631,0.329,0.04,100,0.248,500,0.082,<100
Bassendean,50350,WA,6600,300,0.052,0.716,0.279,0.005,400,0.53,600,0.05,<100
Bayswater,50420,WA,28900,1600,0.057,0.66,0.336,0.004,1000,0.368,2700,0.069,100-200
Belmont,50490,WA,17800,1100,0.061,0.662,0.328,0.011,1200,0.533,2000,0.049,<100
Beverley,50560,WA,700,100,0.095,0.216,0.755,0.029,negligible,-,100,-,<100
Boddington,50630,WA,700,<100,0.06,0.527,0.432,0.042,negligible,-,100,-,<100
Boyup Brook,50770,WA,700,<100,0.062,0.554,0,0.446,negligible,-,100,-,<100
Bridgetown-Greenbushes,50840,WA,2200,100,0.045,0.484,0.417,0.099,100,0.386,100,0.059,<100
Brookton,50910,WA,400,-,-,-,-,-,-,-,-,-,-
Broome,50980,WA,5800,200,0.035,0.387,0.393,0.22,1300,0.868,500,0.017,<100
Broomehill-Tambellup,51080,WA,400,-,-,-,-,-,-,-,-,-,-
Bruce Rock,51120,WA,400,-,-,-,-,-,-,-,-,-,-
Bunbury,51190,WA,14000,1100,0.076,0.706,0.293,0,900,0.451,1500,0.051,<100
Busselton,51260,WA,15500,900,0.061,0.64,0.349,0.011,600,0.387,1300,0.059,<100
Cambridge,51310,WA,10600,300,0.028,0.355,0.363,0.282,negligible,-,400,-,<100
Canning,51330,WA,34300,1800,0.053,0.696,0.294,0.01,1000,0.366,2900,0.069,100-200
Capel,51400,WA,6400,200,0.032,0.89,0.091,0.019,300,0.57,300,0.038,<100
Carnamah,51470,WA,300,-,-,-,-,-,-,-,-,-,-
Carnarvon,51540,WA,2000,<100,0.024,0.363,0.369,0.268,300,0.862,100,0.017,<100
Chapman Valley,51610,WA,600,<100,0.002,0,0,1,negligible,-,<100,-,<100
Chittering,51680,WA,2100,<100,0.021,0.772,0.205,0.024,negligible,-,100,-,<100
Claremont,51750,WA,4500,200,0.042,0.582,0.313,0.106,negligible,-,300,-,<100
Cockburn,51820,WA,44700,2100,0.048,0.654,0.297,0.049,1400,0.398,3600,0.065,100-200
Collie,51890,WA,3600,200,0.059,0.673,0.269,0.058,100,0.408,300,0.056,<100
Coolgardie,51960,WA,1400,100,0.066,0.701,0.204,0.095,100,0.389,100,0.058,<100
Coorow,52030,WA,500,<100,0.078,0.379,0.589,0.032,negligible,-,<100,-,<100
Corrigin,52100,WA,400,-,-,-,-,-,-,-,-,-,-
Cottesloe,52170,WA,3100,100,0.024,0.338,0.45,0.212,negligible,-,100,-,<100
Cranbrook,52240,WA,400,-,-,-,-,-,-,-,-,-,-
Cuballing,52310,WA,400,-,-,-,-,-,-,-,-,-,-
Cue,52380,WA,100,-,-,-,-,-,-,-,-,-,-
Cunderdin,52450,WA,500,<100,0.041,0.919,0,0.081,negligible,-,<100,-,<100
Dalwallinu,52520,WA,500,<100,0.012,0,0,1,negligible,-,<100,-,<100
Dandaragan,52590,WA,1300,100,0.071,0.94,0,0.06,negligible,-,100,-,<100
Dardanup,52660,WA,5500,200,0.044,0.798,0.186,0.016,100,0.218,300,0.089,<100
Denmark,52730,WA,2500,100,0.059,0.696,0.293,0.011,100,0.442,200,0.052,<100
Derby-West Kimberley,52800,WA,2200,100,0.044,0,0,1,1200,0.924,400,0.014,<100
Donnybrook-Balingup,52870,WA,2400,100,0.044,0.612,0.284,0.104,negligible,-,100,-,<100
Dowerin,52940,WA,300,-,-,-,-,-,-,-,-,-,-
Dumbleyung,53010,WA,300,-,-,-,-,-,-,-,-,-,-
Dundas,53080,WA,300,-,-,-,-,-,-,-,-,-,-
East Fremantle,53150,WA,3000,100,0.032,0.431,0.548,0.021,negligible,-,200,-,<100
East Pilbara,53220,WA,1800,300,0.174,0,0.042,0.958,300,0.485,400,0.047,<100
Esperance,53290,WA,5500,300,0.054,0.673,0.283,0.043,300,0.478,400,0.048,<100
Exmouth,53360,WA,1200,<100,0.005,0,0.715,0.285,200,0.96,<100,0.012,<100
Fremantle,53430,WA,13700,500,0.036,0.531,0.445,0.024,1000,0.674,1100,0.037,<100
Gingin,53570,WA,2100,<100,0.016,0.39,0.531,0.079,negligible,-,<100,-,<100
Gnowangerup,53640,WA,500,<100,0.008,0,0,1,negligible,-,<100,-,<100
Goomalling,53710,WA,400,-,-,-,-,-,-,-,-,-,-
Gosnells,53780,WA,44100,2600,0.058,0.756,0.23,0.014,1200,0.324,4100,0.076,200-300
Greater Geraldton,53800,WA,15300,900,0.059,0.743,0.254,0.003,700,0.439,1200,0.052,<100
Halls Creek,53920,WA,1000,100,0.111,0,0,1,700,0.863,300,0.017,<100
Harvey,53990,WA,10400,500,0.051,0.712,0.265,0.023,200,0.314,700,0.07,<100
Irwin,54060,WA,1600,100,0.059,0.482,0.51,0.007,100,0.467,100,0.049,<100
